"","name","SA","est","Year","ExtraTerr","EVIMean"
"7","322512011Snow 95% est","WHEC",397.258358334131,"2011",0,1350.53955023861
"12","322522011Snow 95% est","WHEC",1959.18800466578,"2011",0,1604.40738188976
"16","322532011Snow 95% est","WHEC",1052.29412532682,"2011",0,1423.61989721237
"21","322552011Snow 95% est","WHEC",484.12682308801,"2011",0,1463.89865408765
"24","322562011Snow 95% est","WHEC",291.867178340209,"2011",0,1544.30802820546
"26","322572011Snow 95% est","WHEC",305.138058254924,"2011",0,1547.26103690288
"28","322582011Snow 95% est","WHEC",1777.21711516838,"2011",0,1340.10079459931
"31","322592011Snow 95% est","WHEC",900.478555009801,"2011",0,1486.35868058913
"35","322602011Snow 95% est","WHEC",626.561755227081,"2011",0,1375.08590516539
"38","322612011Snow 95% est","WHEC",1796.50555382939,"2011",0,1351.97081152678
"43","322622011Snow 95% est","WHEC",511.325457372974,"2011",0,1343.21480244853
"45","322632011Snow 95% est","WHEC",450.665215096763,"2011",0,1367.48827730133
"49","322642011Snow 95% est","WHEC",341.151060159939,"2011",0,1537.26715297771
"53","322652011Snow 95% est","WHEC",749.804302436238,"2011",0,1366.99858198127
"55","322662011Snow 95% est","WHEC",512.309237414649,"2011",0,1689.78776872964
"58","322672011Snow 95% est","WHEC",880.188941398242,"2011",0,1449.9108322325
"62","322682011Snow 95% est","WHEC",460.08375663953,"2011",0,1373.40684366755
"64","322692011Snow 95% est","WHEC",716.740969386378,"2011",0,1479.01377019575
"66","322702011Snow 95% est","WHEC",503.011033732969,"2011",0,1463.11342048491
"8","322512012Snow 95% est","WHEC",457.437368541315,"2012",0,1131.5557407589
"9","322512012SnowFree 95% est","WHEC",526.411898560619,"2012",0,1087.69272882245
"13","322522012Snow 95% est","WHEC",1905.96661479021,"2012",0,1662.13212585253
"14","322522012SnowFree 95% est","WHEC",845.013016718679,"2012",0,1619.72548924155
"17","322532012Snow 95% est","WHEC",170.51763558431,"2012",0,1382.23757050174
"18","322532012SnowFree 95% est","WHEC",847.413109794176,"2012",0,1315.92011229391
"22","322552012Snow 95% est","WHEC",525.239362446669,"2012",0,1306.41712903226
"23","322552012SnowFree 95% est","WHEC",1159.28603649845,"2012",0,1326.20489030637
"25","322562012SnowFree 95% est","WHEC",215.881404435296,"2012",0,1404.97415243271
"27","322572012SnowFree 95% est","WHEC",258.310017403945,"2012",0,1363.74184518801
"29","322582012Snow 95% est","WHEC",604.793720637339,"2012",0,1306.73409553996
"30","322582012SnowFree 95% est","WHEC",1271.36382155813,"2012",0,1349.24349904707
"32","322592012Snow 95% est","WHEC",666.542245560358,"2012",0,1518.00280536566
"33","322592012SnowFree 95% est","WHEC",789.978194118743,"2012",0,1447.33513635339
"36","322602012Snow 95% est","WHEC",663.123231030617,"2012",0,1513.91034628929
"37","322602012SnowFree 95% est","WHEC",498.849008662418,"2012",0,1508.03880421657
"39","322612012Snow 95% est","WHEC",128.196805802964,"2012",0,1463.20077963251
"40","322612012SnowFree 95% est","WHEC",1069.21221523113,"2012",0,1468.39818321885
"44","322622012SnowFree 95% est","WHEC",491.394025378063,"2012",0,1092.15918394079
"46","322632012SnowFree 95% est","WHEC",172.179680063982,"2012",0,1511.35415987481
"50","322642012Snow 95% est","WHEC",279.193074310138,"2012",0,1360.53800866921
"51","322642012SnowFree 95% est","WHEC",285.642483605622,"2012",0,1398.82800168198
"54","322652012SnowFree 95% est","WHEC",255.46702926284,"2012",0,1171.74694942904
"56","322662012Snow 95% est","WHEC",1110.48166067936,"2012",0,1651.07670234718
"57","322662012SnowFree 95% est","WHEC",427.808894334965,"2012",0,1630.98982270768
"59","322672012Snow 95% est","WHEC",899.351745039313,"2012",0,1420.07680074536
"60","322672012SnowFree 95% est","WHEC",795.31066336649,"2012",0,1426.4780497218
"63","322682012SnowFree 95% est","WHEC",381.144670405824,"2012",0,1201.96217864206
"65","322692012SnowFree 95% est","WHEC",187.700997958533,"2012",0,1454.60638743118
"67","322702012Snow 95% est","WHEC",382.341689146352,"2012",0,1355.87900019239
"68","322702012SnowFree 95% est","WHEC",1143.36434091498,"2012",0,1325.76341557689
"69","336682012Snow 95% est","WHEC",407.617858012911,"2012",0,1133.33116055675
"70","336692012Snow 95% est","WHEC",1662.84452992808,"2012",0,1135.22228167461
"71","336732012Snow 95% est","WHEC",1385.51054463978,"2012",0,1608.58196881092
"72","336742012Snow 95% est","WHEC",28478.5098500187,"2012",1,1490.1543902439
"74","336772012Snow 95% est","WHEC",624.092796479048,"2012",0,1505.72105022533
"79","336792012Snow 95% est","WHEC",218078.037571526,"2012",1,1153.62679802956
"83","336802012Snow 95% est","WHEC",570.138611883653,"2012",0,1290.15927360775
"85","336812012Snow 95% est","WHEC",490.703950729917,"2012",0,1579.10331971731
"93","W002D2012Snow 95% est","RICC",6165.27221601453,"2012",1,1700.56178995434
"98","W003D2012Snow 95% est","RICC",261.256025897498,"2012",0,1266.59564564074
"104","W003F2012Snow 95% est","RICC",211.40480200147,"2012",0,1211.2142005819
"107","W004D2012Snow 95% est","RICC",1058.32153957779,"2012",0,1311.99960521121
"110","W004F2012Snow 95% est","RICC",2404.90326612635,"2012",0,1496.946600202
"114","W005D2012Snow 95% est","RICC",1168.74816131347,"2012",0,1313.45134112226
"118","W006D2012Snow 95% est","RICC",1234.77058830217,"2012",0,1797.14297939459
"121","W006F2012Snow 95% est","RICC",941.712293889484,"2012",0,1792.13084809875
"122","W007D2012Snow 95% est","RICC",275.526145734657,"2012",0,1259.35602568324
"124","W008D2012Snow 95% est","RICC",914.354022035287,"2012",0,1782.08589696381
"126","W011F2012Snow 95% est","RICC",2411.04657440428,"2012",0,1508.12811318926
"130","W012D2012Snow 95% est","RICC",272.549856022405,"2012",0,2058.50610697499
"134","W012F2012Snow 95% est","RICC",562.165633534349,"2012",0,1336.17766232069
"140","W013D2012Snow 95% est","RICC",1058.70818505192,"2012",0,1310.15419699015
"143","W013F2012Snow 95% est","RICC",219.471390480215,"2012",0,1558.47815255574
"146","W015D2012Snow 95% est","RICC",266.492211797589,"2012",0,1266.48629980405
"162","W018D2012Snow 95% est","RICC",578.537218763601,"2012",0,1695.22686856093
"167","W019D2012Snow 95% est","RICC",305.300844898551,"2012",0,2135.09753324606
"169","W020D2012Snow 95% est","RICC",549.869369800941,"2012",0,1713.36314030086
"308","BW0082012Snow 95% est","BC",1275.22211595504,"2012",0,1695.10732185311
"312","BW0092012Snow 95% est","BC",1165.64298690446,"2012",0,1694.86366409762
"316","BW0102012Snow 95% est","BC",1939.72483539989,"2012",0,1516.93945300019
"320","BW0122012Snow 95% est","BC",981.543821240248,"2012",0,1805.43594817132
"1","137902013Snow 95% est","WHEC",1541.17469886404,"2013",0,1638.20379890074
"2","137912013Snow 95% est","WHEC",2008.74656061469,"2013",0,1689.35262282789
"3","137922013Snow 95% est","WHEC",344.169727022664,"2013",0,1476.4703561804
