"","FID","name","StudyArea","Area","ExtraTerr","LENGTH","KDEClass","LineDensity","AnimalID","Season","Year"
"1",0,"137902013Snow 95% low","WHEC",864.012155766,0,869415.916329811," low",1.00625426451208,"13790","Snow","2013"
"2",1,"137902013Snow 95% ML","WHEC",1577.5578195,0,1477607.2562213,"% ML",0.936642218723634,"13790","Snow","2013"
"3",2,"137902013Snow 95% high","WHEC",2499.66963117,0,2123169.91713437,"high",0.849380210352277,"13790","Snow","2013"
"4",3,"137912013Snow 95% low","WHEC",609.022797082,0,632976.122267709," low",1.03933075297095,"13791","Snow","2013"
"5",4,"137912013Snow 95% ML","WHEC",1424.93887101,0,1199603.28206501,"% ML",0.84186297845516,"13791","Snow","2013"
"6",5,"137912013Snow 95% high","WHEC",2584.80442745,0,2100962.00942357,"high",0.812812755623544,"13791","Snow","2013"
"7",6,"137922013Snow 95% low","WHEC",209.081777974,0,132020.113822946," low",0.631428119189629,"13792","Snow","2013"
"8",7,"137922013Snow 95% ML","WHEC",305.284579703,0,219542.07507536,"% ML",0.719139090775381,"13792","Snow","2013"
"9",8,"137922013Snow 95% high","WHEC",419.463725538,0,312931.826271347,"high",0.746028338612555,"13792","Snow","2013"
"10",9,"137932013Snow 95% low","WHEC",46.0292406875,0,13875.415085359," low",0.301447837898554,"13793","Snow","2013"
"11",10,"137932013Snow 95% ML","WHEC",62.7403860871,0,18834.1171073777,"% ML",0.300191284784748,"13793","Snow","2013"
"12",11,"137932013Snow 95% high","WHEC",81.9550920487,0,28094.1224950088,"high",0.342798986526847,"13793","Snow","2013"
"13",12,"137942013Snow 95% low","WHEC",983.425472803,1,885303.099825709," low",0.900223885092564,"13794","Snow","2013"
"14",13,"137942013Snow 95% ML","WHEC",1597.98277752,1,1361253.89360314,"% ML",0.851857675034363,"13794","Snow","2013"
"15",14,"137942013Snow 95% high","WHEC",2357.56992317,1,1972450.14431045,"high",0.836645447893349,"13794","Snow","2013"
"16",15,"150092014SnowFree 95% low","WHEC",107.364529107,0,81561.1355187605," low",0.759665563637654,"15009","SnowFree","2014"
"17",16,"150092014SnowFree 95% ML","WHEC",146.335574928,0,118735.601075437,"% ML",0.81139258949068,"15009","SnowFree","2014"
"18",17,"150092014SnowFree 95% high","WHEC",191.344104266,0,157735.263969898,"high",0.824353928097101,"15009","SnowFree","2014"
"19",18,"322512011Snow 95% low","WHEC",211.890740531,0,132845.439932567," low",0.62695254922256,"32251","Snow","2011"
"20",19,"322512011Snow 95% ML","WHEC",322.345850368,0,238511.033021797,"% ML",0.739922765407108,"32251","Snow","2011"
"21",20,"322512011Snow 95% high","WHEC",455.573713618,0,360765.439005533,"high",0.791892570228572,"32251","Snow","2011"
"22",21,"322512012Snow 95% low","WHEC",314.530437298,0,299023.253536875," low",0.950697350964375,"32251","Snow","2012"
"23",22,"322512012Snow 95% ML","WHEC",397.268189505,0,388480.911025696,"% ML",0.977880739733394,"32251","Snow","2012"
"24",23,"322512012Snow 95% high","WHEC",489.065150861,0,455422.689938135,"high",0.931210676402443,"32251","Snow","2012"
"25",24,"322512012SnowFree 95% low","WHEC",393.411069477,0,317818.681814098," low",0.807853938214311,"32251","SnowFree","2012"
"26",25,"322512012SnowFree 95% ML","WHEC",448.510415455,0,373735.177103496,"% ML",0.833280932226185,"32251","SnowFree","2012"
"27",26,"322512012SnowFree 95% high","WHEC",506.366143533,0,442212.647738911,"high",0.873306111371349,"32251","SnowFree","2012"
"28",27,"322512013Snow 95% low","WHEC",390.175503302,0,355143.643453342," low",0.910215122291921,"32251","Snow","2013"
"29",28,"322512013Snow 95% ML","WHEC",523.827378343,0,468972.079198031,"% ML",0.895279816571463,"32251","Snow","2013"
"30",29,"322512013Snow 95% high","WHEC",676.776667016,0,586532.427503798,"high",0.866655805510995,"32251","Snow","2013"
"31",30,"322512013SnowFree 95% low","WHEC",425.688202752,0,370162.145239169," low",0.869561671773226,"32251","SnowFree","2013"
"32",31,"322512013SnowFree 95% ML","WHEC",494.222789709,0,422078.573373728,"% ML",0.854024909742121,"32251","SnowFree","2013"
"33",32,"322512013SnowFree 95% high","WHEC",568.936963125,0,485087.465480063,"high",0.852620759276428,"32251","SnowFree","2013"
"34",33,"322522011Snow 95% low","WHEC",726.078061809,0,796589.88746395," low",1.09711328487087,"32252","Snow","2011"
"35",34,"322522011Snow 95% ML","WHEC",1366.93595585,0,1302930.81460248,"% ML",0.953176196021766,"32252","Snow","2011"
"36",35,"322522011Snow 95% high","WHEC",2205.84360445,0,1987462.65314008,"high",0.900998896354498,"32252","Snow","2011"
"37",36,"322522012Snow 95% low","WHEC",1136.54608707,0,1004426.35704024," low",0.883753301750951,"32252","Snow","2012"
"38",37,"322522012Snow 95% ML","WHEC",1736.848632,0,1493571.71535032,"% ML",0.859931998582083,"32252","Snow","2012"
"39",38,"322522012Snow 95% high","WHEC",2463.85421287,0,2188295.87675394,"high",0.88815964245097,"32252","Snow","2012"
"40",39,"322522012SnowFree 95% low","WHEC",589.362000558,0,582906.354651287," low",0.989046382527884,"32252","SnowFree","2012"
"41",40,"322522012SnowFree 95% ML","WHEC",768.554573338,0,711242.672650651,"% ML",0.925428977101222,"32252","SnowFree","2012"
"42",41,"322522012SnowFree 95% high","WHEC",971.559778471,0,876648.56953447,"high",0.9023104794582,"32252","SnowFree","2012"
"43",42,"322522013SnowFree 95% low","WHEC",2766.37263503,1,1923335.55258663," low",0.695255414340005,"32252","SnowFree","2013"
