"","ID","name","Esttype","SA","type","est","ExtraTerr","EVIMean","LFD"
"1","1400032013Snow","1400032013Snow 95% est","est","SK","OUF anisotropic",1862.55955523742,0,1077.03104023734,0.00233865225554659
"2","1400032014SnowFree","1400032014SnowFree 95% est","est","SK","OUF isotropic",527110.923249324,1,1329.71726628556,0
"3","1400042013Snow","1400042013Snow 95% est","est","SK","OUF anisotropic",402.721554954575,0,1342.55431710521,0.00950422092057984
"4","1400042014Snow","1400042014Snow 95% est","est","SK","OUF anisotropic",984.218180466194,0,1605.9467498201,0.0134843116901841
"5","1400042014SnowFree","1400042014SnowFree 95% est","est","SK","OUF anisotropic",314.930375824029,0,1474.30138554455,0.011995608227082
"6","1400042015Snow","1400042015Snow 95% est","est","SK","OUF anisotropic",4335.94978147076,0,1094.39876955245,0.0273935320238289
"7","1400042015SnowFree","1400042015SnowFree 95% est","est","SK","OUF anisotropic",752.963499974575,0,1218.25791113952,0.0134126232816118
"8","1400052013Snow","1400052013Snow 95% est","est","SK","OUF anisotropic",3053.11157467191,0,881.436593229447,0.00747035522785409
"9","1400052014Snow","1400052014Snow 95% est","est","SK","OUF anisotropic",534.394369917993,0,1273.81846520775,0.00783450850845331
"10","1400052014SnowFree","1400052014SnowFree 95% est","est","SK","OUF anisotropic",2141.79313503683,0,1245.63331226296,0.00820716856852412
"11","1400052015Snow","1400052015Snow 95% est","est","SK","OUF anisotropic",672.712914511084,0,1009.97452190753,0.00578081565750058
"12","1400052015SnowFree","1400052015SnowFree 95% est","est","SK","OUF anisotropic",624.728014408099,0,973.808221163802,0.00672315798945223
"13","1400062013Snow","1400062013Snow 95% est","est","SK","OUF anisotropic",405.838698983648,0,1083.81316335948,0.0139486357343299
"14","1400062014Snow","1400062014Snow 95% est","est","SK","OUF isotropic",2375.01545881515,0,1363.9109235276,0.0130824081489021
"15","1400062014SnowFree","1400062014SnowFree 95% est","est","SK","OUF anisotropic",1061.46789485638,0,1270.28895195148,0.00980924449707703
