"","low","est","high","ID","type","metric"
"area (square kilometers)",569.935081282003,1862.55955523742,3906.71879065513,"1400032013Snow","OUF anisotropic","area (square kilometers)"
"t[position] (days)",0.893006248078718,11.4791202881422,147.557985034414,"1400032013Snow","OUF anisotropic","t[position] (days)"
"t[velocity] (minutes)",38.6572020382115,53.8401375475391,74.9862964286083,"1400032013Snow","OUF anisotropic","t[velocity] (minutes)"
"speed (kilometers/day)",20.5579886442993,22.6843911124374,24.808217668221,"1400032013Snow","OUF anisotropic","speed (kilometers/day)"
"area (square kilometers)1",21053.2503599942,527110.923249324,1819295.76381272,"1400032014SnowFree","OUF isotropic","area (square kilometers)1"
"t[position] (years)",0,1.26649009301813,3.56217164475897,"1400032014SnowFree","OUF isotropic","t[position] (years)"
"t[velocity] (hours)",1.71865553042824,1.98604209286782,2.29502836653949,"1400032014SnowFree","OUF isotropic","t[velocity] (hours)"
"speed (kilometers/day)1",36.8061215962324,38.2511607394459,39.6954564948906,"1400032014SnowFree","OUF isotropic","speed (kilometers/day)1"
"area (square kilometers)2",270.043719504977,402.721554954575,561.492588816386,"1400042013Snow","OUF anisotropic","area (square kilometers)2"
"t[position] (days)1",1.02380093114446,1.69435765375762,2.80410748956621,"1400042013Snow","OUF anisotropic","t[position] (days)1"
"t[velocity] (hours)1",0.813216292358973,1.09466625670122,1.47352460202716,"1400042013Snow","OUF anisotropic","t[velocity] (hours)1"
"speed (kilometers/day)2",23.4208423273947,25.467666160598,27.5123280431104,"1400042013Snow","OUF anisotropic","speed (kilometers/day)2"
"area (square kilometers)3",266.825606343789,314.930375824029,366.963115757043,"1400042014SnowFree","OUF anisotropic","area (square kilometers)3"
"t[position] (days)2",0.886339613581577,1.08378562795623,1.32521583077858,"1400042014SnowFree","OUF anisotropic","t[position] (days)2"
"t[velocity] (hours)2",0.972924755388742,1.13999776458379,1.33576095793428,"1400042014SnowFree","OUF anisotropic","t[velocity] (hours)2"
"speed (kilometers/day)3",25.5425397442026,26.7339496163955,27.9246392715955,"1400042014SnowFree","OUF anisotropic","speed (kilometers/day)3"
"area (square kilometers)4",742.361582158789,984.218180466194,1259.65466195174,"1400042014Snow","OUF anisotropic","area (square kilometers)4"
"t[position] (days)3",2.22916187856071,3.07573170499216,4.24380374170136,"1400042014Snow","OUF anisotropic","t[position] (days)3"
"t[velocity] (minutes)1",48.2398742454278,56.8765366546909,67.0594704574506,"1400042014Snow","OUF anisotropic","t[velocity] (minutes)1"
"speed (kilometers/day)4",29.8659973752953,31.4363832033507,33.0057087121682,"1400042014Snow","OUF anisotropic","speed (kilometers/day)4"
"area (square kilometers)5",585.165408039346,752.963499974575,941.592807103026,"1400042015SnowFree","OUF anisotropic","area (square kilometers)5"
"t[position] (days)4",1.86108449660603,2.489658781001,3.33053166426302,"1400042015SnowFree","OUF anisotropic","t[position] (days)4"
"t[velocity] (hours)3",1.24155701722168,1.40974492458874,1.60071645912085,"1400042015SnowFree","OUF anisotropic","t[velocity] (hours)3"
"speed (kilometers/day)5",23.2211329914237,24.0271638618554,24.8328257391977,"1400042015SnowFree","OUF anisotropic","speed (kilometers/day)5"
"area (square kilometers)6",1723.23157175063,4335.94978147076,8133.14800106689,"1400042015Snow","OUF anisotropic","area (square kilometers)6"
"t[position] (days)5",1.32940438518752,5.71275844460997,24.5490457306254,"1400042015Snow","OUF anisotropic","t[position] (days)5"
"t[velocity] (hours)4",1.18590418280465,1.5356791100784,1.98861793669857,"1400042015Snow","OUF anisotropic","t[velocity] (hours)4"
"speed (kilometers/day)6",33.8275470690534,36.1102394193967,38.3910018362442,"1400042015Snow","OUF anisotropic","speed (kilometers/day)6"
"area (square kilometers)7",998.494649953993,3053.11157467191,6235.39478233844,"1400052013Snow","OUF anisotropic","area (square kilometers)7"
"t[position] (days)6",1.00726481996934,8.94700297596048,79.4715159954481,"1400052013Snow","OUF anisotropic","t[position] (days)6"
"t[velocity] (minutes)2",32.1902696751969,47.1503450873312,69.0629517641906,"1400052013Snow","OUF anisotropic","t[velocity] (minutes)2"
"speed (kilometers/day)7",30.258772687134,33.9585545348177,37.6532443587364,"1400052013Snow","OUF anisotropic","speed (kilometers/day)7"
"area (square kilometers)8",1511.07903699741,2141.79313503683,2880.7900814615,"1400052014SnowFree","OUF anisotropic","area (square kilometers)8"
"t[position] (days)7",2.80307431436159,4.2091549718463,6.32055507278034,"1400052014SnowFree","OUF anisotropic","t[position] (days)7"
"t[velocity] (hours)5",1.4226918443689,1.5981398090483,1.79522421483896,"1400052014SnowFree","OUF anisotropic","t[velocity] (hours)5"
"speed (kilometers/day)8",28.2326695042645,29.1317952572289,30.0305418554554,"1400052014SnowFree","OUF anisotropic","speed (kilometers/day)8"
"area (square kilometers)9",418.496334951944,534.394369917993,664.2441060107,"1400052014Snow","OUF anisotropic","area (square kilometers)9"
"t[position] (days)8",1.75174652239333,2.3193674797014,3.07091547614249,"1400052014Snow","OUF anisotropic","t[position] (days)8"
"t[velocity] (hours)6",0.854789604029159,1.00439848556559,1.1801925445177,"1400052014Snow","OUF anisotropic","t[velocity] (hours)6"
"speed (kilometers/day)9",23.735507296302,24.8843594677266,26.032492911331,"1400052014Snow","OUF anisotropic","speed (kilometers/day)9"
"area (square kilometers)10",512.169494434601,624.728014408099,748.29999836751,"1400052015SnowFree","OUF anisotropic","area (square kilometers)10"
"t[position] (days)9",1.23533516642706,1.56196277752122,1.97495204918208,"1400052015SnowFree","OUF anisotropic","t[position] (days)9"
"t[velocity] (hours)7",1.13823911284475,1.31240291331184,1.51321579748273,"1400052015SnowFree","OUF anisotropic","t[velocity] (hours)7"
"speed (kilometers/day)10",27.4423487852953,28.5093867281941,29.5758807291056,"1400052015SnowFree","OUF anisotropic","speed (kilometers/day)10"
"area (square kilometers)11",149.451712746869,672.712914511084,1582.0421422512,"1400052015Snow","OUF anisotropic","area (square kilometers)11"
"t[position] (days)10",0,2.11684011821369,4.5716676247836,"1400052015Snow","OUF anisotropic","t[position] (days)10"
"t[velocity] (hours)8",0.422269431864211,1.14999392991076,3.131853596395,"1400052015Snow","OUF anisotropic","t[velocity] (hours)8"
"speed (kilometers/day)11",23.4832144593141,29.3590632613349,35.2232222556403,"1400052015Snow","OUF anisotropic","speed (kilometers/day)11"
"area (square kilometers)12",228.326975036008,405.838698983648,633.561308009856,"1400062013Snow","OUF anisotropic","area (square kilometers)12"
"t[position] (days)11",1.638974482036,3.43324688258864,7.19180456193687,"1400062013Snow","OUF anisotropic","t[position] (days)11"
"t[velocity] (hours)9",1.02096152212058,1.29518195043496,1.64305534379815,"1400062013Snow","OUF anisotropic","t[velocity] (hours)9"
"speed (kilometers/day)12",14.7568067473039,15.7133292476638,16.6690713983417,"1400062013Snow","OUF anisotropic","speed (kilometers/day)12"
"area (square kilometers)13",777.401079503137,1061.46789485638,1389.0866926166,"1400062014SnowFree","OUF anisotropic","area (square kilometers)13"
"t[position] (days)12",2.52665086754332,3.61574141258102,5.174274819918,"1400062014SnowFree","OUF anisotropic","t[position] (days)12"
"t[velocity] (hours)10",1.26794648053107,1.44157499699416,1.63897964454169,"1400062014SnowFree","OUF anisotropic","t[velocity] (hours)10"
"speed (kilometers/day)13",22.3126903304496,23.1099750468059,23.906884576192,"1400062014SnowFree","OUF anisotropic","speed (kilometers/day)13"
"area (square kilometers)14",428.560979981478,2375.01545881515,5954.63514642393,"1400062014Snow","OUF isotropic","area (square kilometers)14"
"t[position] (days)13",0,8.82641271006614,19.5775567694714,"1400062014Snow","OUF isotropic","t[position] (days)13"
"t[velocity] (hours)11",0.628725367320714,1.01292444530844,1.63189841738966,"1400062014Snow","OUF isotropic","t[velocity] (hours)11"
"speed (kilometers/day)14",22.9798040662555,26.0274589039434,29.0706677249192,"1400062014Snow","OUF isotropic","speed (kilometers/day)14"
"area (square kilometers)15",1056.59685072209,1903.00642996041,2994.31733350446,"1400072013Snow","OUF anisotropic","area (square kilometers)15"
"t[position] (days)14",1.66203226277193,3.5658132967846,7.65028739353099,"1400072013Snow","OUF anisotropic","t[position] (days)14"
"t[velocity] (hours)12",1.2134312073165,1.50508649766691,1.86684284350072,"1400072013Snow","OUF anisotropic","t[velocity] (hours)12"
"speed (kilometers/day)15",28.6893762774108,30.2756418514369,31.860786039044,"1400072013Snow","OUF anisotropic","speed (kilometers/day)15"
"area (square kilometers)16",3250.00817345217,5558.39423502627,8476.070222956,"1400072014SnowFree","OUF anisotropic","area (square kilometers)16"
"t[position] (days)15",5.13451643333388,9.87008488566983,18.9732717608761,"1400072014SnowFree","OUF anisotropic","t[position] (days)15"
"t[velocity] (hours)13",1.47217704377599,1.64979076762388,1.84883305200563,"1400072014SnowFree","OUF anisotropic","t[velocity] (hours)13"
"speed (kilometers/day)16",28.9703580571056,29.8701800712744,30.7696316132952,"1400072014SnowFree","OUF anisotropic","speed (kilometers/day)16"
"area (square kilometers)17",2472.33260728278,6280.0728874895,11831.7517929947,"1400072014Snow","OUF anisotropic","area (square kilometers)17"
"t[position] (days)16",4.61202235075131,19.3678240813073,81.3336495612079,"1400072014Snow","OUF anisotropic","t[position] (days)16"
"t[velocity] (hours)14",1.28710309913486,1.44455305058505,1.62126368692391,"1400072014Snow","OUF anisotropic","t[velocity] (hours)14"
"speed (kilometers/day)17",23.9368102306383,24.7096658731632,25.482191302371,"1400072014Snow","OUF anisotropic","speed (kilometers/day)17"
"area (square kilometers)18",440.344079450938,1721.52723131037,3859.86029282107,"1400072015SnowFree","OUF anisotropic","area (square kilometers)18"
"t[position] (days)17",0,3.91833142989171,8.01323147144832,"1400072015SnowFree","OUF anisotropic","t[position] (days)17"
"t[velocity] (hours)15",0.972213327478726,1.66717604167458,2.8589157084915,"1400072015SnowFree","OUF anisotropic","t[velocity] (hours)15"
"speed (kilometers/day)18",23.6015562626075,26.8067012368605,30.0070929367656,"1400072015SnowFree","OUF anisotropic","speed (kilometers/day)18"
"area (square kilometers)19",793.487593709248,2832.4597850979,6144.93895906844,"1400082013Snow","OUF anisotropic","area (square kilometers)19"
"t[position] (days)18",0.253594787221222,11.1892203335185,493.695682959006,"1400082013Snow","OUF anisotropic","t[position] (days)18"
"t[velocity] (hours)16",0.787362862797251,1.04788353833286,1.3946046502726,"1400082013Snow","OUF anisotropic","t[velocity] (hours)16"
